classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_AdaptiveEnsemble,ACSF1,100,100,1460,10,75,24,25091,3.7146,1.8726,18.7258,93.62,0.94,0.94,-0.176827
WEASEL2_AdaptiveEnsemble,Adiac,390,391,176,37,50,84,17068,1.9186,0.6161,1.5758,204.18,0.828645,0.836502,-0.049344
WEASEL2_AdaptiveEnsemble,ArrowHead,36,175,251,3,50,24,18966,0.5289,0.3747,2.1409,21.7,0.857143,0.864643,-0.316231
WEASEL2_AdaptiveEnsemble,BME,30,150,128,3,50,24,19551,0.4316,0.1771,1.1808,18.63,0.98,0.98,-0.155381
WEASEL2_AdaptiveEnsemble,Beef,30,30,470,5,50,24,19741,0.6036,0.1236,4.1199,19.07,0.833333,0.833333,-0.40524
WEASEL2_AdaptiveEnsemble,BeetleFly,20,20,512,2,25,24,9381,0.2809,0.0569,2.8432,6.28,0.95,0.95,-0.299599
WEASEL2_AdaptiveEnsemble,BirdChicken,20,20,512,2,25,24,9197,0.2723,0.057,2.8499,6.16,0.9,0.9,-0.283424
WEASEL2_AdaptiveEnsemble,CBF,30,900,128,3,50,24,21141,0.4391,1.0782,1.198,20.1,0.982222,0.982237,-0.197078
WEASEL2_AdaptiveEnsemble,Car,60,60,577,4,50,24,18037,1.0264,0.3193,5.322,34.1,0.916667,0.915992,-0.191846
WEASEL2_AdaptiveEnsemble,Chinatown,20,343,24,2,25,24,3560,0.1866,0.0714,0.2081,2.49,0.976676,0.983936,-0.13833
WEASEL2_AdaptiveEnsemble,ChlorineConcentration,467,3840,166,3,50,84,20331,2.2407,7.0463,1.835,290.55,0.75625,0.704004,-0.474657
WEASEL2_AdaptiveEnsemble,CinCECGTorso,40,1380,1639,4,75,24,29082,2.0683,31.7364,22.9974,38.29,0.960145,0.960081,-0.192565
WEASEL2_AdaptiveEnsemble,Coffee,28,28,286,2,25,24,7710,0.2706,0.0395,1.4123,7.04,1.0,1.0,-0.111743
WEASEL2_AdaptiveEnsemble,Computers,250,250,720,2,75,84,34501,5.1062,3.1115,12.4458,265.0,0.696,0.696,-0.51781
WEASEL2_AdaptiveEnsemble,CricketX,390,390,300,12,50,84,24045,2.6365,1.1354,2.9114,287.16,0.802564,0.810303,-0.127735
WEASEL2_AdaptiveEnsemble,CricketY,390,390,300,12,50,84,23863,2.6096,1.0976,2.8144,284.99,0.810256,0.812501,-0.130139
WEASEL2_AdaptiveEnsemble,CricketZ,390,390,300,12,50,84,24004,2.6106,1.1554,2.9626,286.68,0.805128,0.797545,-0.132819
WEASEL2_AdaptiveEnsemble,Crop,7200,16800,46,24,50,44,22044,57.1597,10.027,0.5968,4847.04,0.749583,0.749583,-0.070384
WEASEL2_AdaptiveEnsemble,DiatomSizeReduction,16,306,345,4,50,24,12046,0.4778,0.8752,2.8601,6.72,0.96732,0.929159,-0.193682
WEASEL2_AdaptiveEnsemble,DistalPhalanxOutlineAgeGroup,400,139,80,3,50,44,16457,1.556,0.1101,0.7919,201.59,0.776978,0.802666,-0.296811
WEASEL2_AdaptiveEnsemble,DistalPhalanxOutlineCorrect,600,276,80,2,25,44,10349,1.0954,0.1135,0.4113,189.91,0.793478,0.777019,-0.412742
