classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,n_features_baseline,n_features_new,n_features_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_AdaptiveEnsemble,ACSF1,2.1735,3.7146,1.5411,1.2225,1.8726,0.6501,12.2254,18.7258,6.5004,90.57,93.62,3.05,0.93,0.94,0.01,0.93,0.94,0.01,-0.185615,-0.176827,0.008788,17898.0,25091.0,7193.0,DEVICE,small (n<100),long (>800),many (10+)
WEASEL2_AdaptiveEnsemble,Adiac,4.4664,1.9186,-2.5478,1.8395,0.6161,-1.2234,4.7045,1.5758,-3.1287,558.83,204.18,-354.65,0.84399,0.828645,-0.015345,0.853155,0.836502,-0.016653,-0.045617,-0.049344,-0.003727,46751.0,17068.0,-29683.0,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,ArrowHead,0.4151,0.5289,0.1138,0.3597,0.3747,0.015,2.0553,2.1409,0.0856,21.63,21.7,0.07,0.857143,0.857143,0.0,0.864643,0.864643,0.0,-0.315629,-0.316231,-0.000602,18970.0,18966.0,-4.0,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,BME,0.3269,0.4316,0.1047,0.1844,0.1771,-0.0073,1.2292,1.1808,-0.0484,18.59,18.63,0.04,0.98,0.98,0.0,0.98,0.98,0.0,-0.156256,-0.155381,0.000875,19550.0,19551.0,1.0,SIMULATED,small (n<100),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,Beef,0.4599,0.6036,0.1437,0.1276,0.1236,-0.004,4.2533,4.1199,-0.1334,19.03,19.07,0.04,0.833333,0.833333,0.0,0.833333,0.833333,0.0,-0.405047,-0.40524,-0.000193,19741.0,19741.0,0.0,SPECTRO,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,BeetleFly,0.4213,0.2809,-0.1404,0.1098,0.0569,-0.0529,5.488,2.8432,-2.6448,12.82,6.28,-6.54,0.95,0.95,0.0,0.95,0.95,0.0,-0.294579,-0.299599,-0.00502,19390.0,9381.0,-10009.0,IMAGE,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,BirdChicken,0.4065,0.2723,-0.1342,0.1066,0.057,-0.0496,5.3285,2.8499,-2.4786,12.63,6.16,-6.47,0.9,0.9,0.0,0.9,0.9,0.0,-0.271445,-0.283424,-0.011979,19080.0,9197.0,-9883.0,IMAGE,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,CBF,0.3374,0.4391,0.1017,0.9487,1.0782,0.1295,1.0541,1.198,0.1439,20.06,20.1,0.04,0.982222,0.982222,0.0,0.982237,0.982237,0.0,-0.197581,-0.197078,0.000503,21141.0,21141.0,0.0,SIMULATED,small (n<100),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,Car,1.0025,1.0264,0.0239,0.3405,0.3193,-0.0212,5.6754,5.322,-0.3534,47.1,34.1,-13.0,0.916667,0.916667,0.0,0.915992,0.915992,0.0,-0.191274,-0.191846,-0.000572,18038.0,18037.0,-1.0,SENSOR,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Chinatown,0.2533,0.1866,-0.0667,0.0966,0.0714,-0.0252,0.2816,0.2081,-0.0735,5.19,2.49,-2.7,0.976676,0.976676,0.0,0.983936,0.983936,0.0,-0.15314,-0.13833,0.01481,7364.0,3560.0,-3804.0,TRAFFIC,small (n<100),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,ChlorineConcentration,5.3323,2.2407,-3.0916,19.0545,7.0463,-12.0082,4.9621,1.835,-3.1271,778.47,290.55,-487.92,0.766146,0.75625,-0.009896,0.713065,0.704004,-0.009061,-0.429147,-0.474657,-0.04551,54469.0,20331.0,-34138.0,SIMULATED,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,CinCECGTorso,1.0317,2.0683,1.0366,18.7395,31.7364,12.9969,13.5793,22.9974,9.4181,29.6,38.29,8.69,0.962319,0.960145,-0.002174,0.96217,0.960081,-0.002089,-0.199027,-0.192565,0.006462,20829.0,29082.0,8253.0,ECG,small (n<100),long (>800),mid (3-9)
WEASEL2_AdaptiveEnsemble,Coffee,0.7606,0.2706,-0.49,0.1059,0.0395,-0.0664,3.7823,1.4123,-2.37,14.86,7.04,-7.82,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.111743,0.002954,16470.0,7710.0,-8760.0,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,Computers,8.4179,5.1062,-3.3117,5.2581,3.1115,-2.1466,21.0326,12.4458,-8.5868,434.48,265.0,-169.48,0.704,0.696,-0.008,0.704,0.696,-0.008,-0.537415,-0.51781,0.019605,56523.0,34501.0,-22022.0,DEVICE,medium (100-500),medium (200-800),binary (2)
WEASEL2_AdaptiveEnsemble,CricketX,6.9149,2.6365,-4.2784,3.161,1.1354,-2.0256,8.105,2.9114,-5.1936,687.57,287.16,-400.41,0.812821,0.802564,-0.010257,0.819957,0.810303,-0.009654,-0.118933,-0.127735,-0.008802,57568.0,24045.0,-33523.0,MOTION,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,CricketY,6.3751,2.6096,-3.7655,3.0003,1.0976,-1.9027,7.6931,2.8144,-4.8787,687.3,284.99,-402.31,0.807692,0.810256,0.002564,0.809176,0.812501,0.003325,-0.121512,-0.130139,-0.008627,57547.0,23863.0,-33684.0,MOTION,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,CricketZ,6.2157,2.6106,-3.6051,3.0097,1.1554,-1.8543,7.7172,2.9626,-4.7546,687.53,286.68,-400.85,0.807692,0.805128,-0.002564,0.800486,0.797545,-0.002941,-0.123816,-0.132819,-0.009003,57567.0,24004.0,-33563.0,MOTION,medium (100-500),medium (200-800),many (10+)
WEASEL2_AdaptiveEnsemble,Crop,76.6869,57.1597,-19.5272,18.2702,10.027,-8.2432,1.0875,0.5968,-0.4907,9836.25,4847.04,-4989.21,0.760655,0.749583,-0.011072,0.760655,0.749583,-0.011072,-0.067833,-0.070384,-0.002551,44748.0,22044.0,-22704.0,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_AdaptiveEnsemble,DiatomSizeReduction,0.3478,0.4778,0.13,0.7883,0.8752,0.0869,2.576,2.8601,0.2841,6.68,6.72,0.04,0.96732,0.96732,0.0,0.929159,0.929159,0.0,-0.193839,-0.193682,0.000157,12042.0,12046.0,4.0,IMAGE,small (n<100),medium (200-800),mid (3-9)
WEASEL2_AdaptiveEnsemble,DistalPhalanxOutlineAgeGroup,2.5266,1.556,-0.9706,0.3702,0.1101,-0.2601,2.6635,0.7919,-1.8716,390.22,201.59,-188.63,0.769784,0.776978,0.007194,0.799623,0.802666,0.003043,-0.294586,-0.296811,-0.002225,31869.0,16457.0,-15412.0,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_AdaptiveEnsemble,DistalPhalanxOutlineCorrect,3.8549,1.0954,-2.7595,0.5825,0.1135,-0.469,2.1103,0.4113,-1.699,703.61,189.91,-513.7,0.775362,0.793478,0.018116,0.75528,0.777019,0.021739,-0.403738,-0.412742,-0.009004,38359.0,10349.0,-28010.0,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_AdaptiveEnsemble,DistalPhalanxTW,2.482,1.5784,-0.9036,0.3683,0.1216,-0.2467,2.6495,0.8749,-1.7746,394.29,202.74,-191.55,0.690647,0.705036,0.014389,0.51492,0.519456,0.004536,-0.182256,-0.183993,-0.001737,32201.0,16550.0,-15651.0,IMAGE,medium (100-500),short (<200),mid (3-9)
