classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin,n_features_baseline,n_features_new
WEASEL2_half,ACSF1,2.1735,1.5823,-0.5912,1.2225,0.6746,-0.5479,12.2254,6.7465,-5.4789,90.57,91.96,1.39,0.93,0.95,0.02,0.93,0.95,0.02,-0.185615,-0.206031,-0.020416,DEVICE,small (n<100),long (>800),many (10+),17898,8716
WEASEL2_half,Adiac,4.4664,2.9096,-1.5568,1.8395,0.9407,-0.8988,4.7045,2.4058,-2.2987,558.83,308.95,-249.88,0.84399,0.841432,-0.002558,0.853155,0.852275,-0.00088,-0.045617,-0.046973,-0.001356,IMAGE,medium (100-500),medium (200-800),many (10+),46751,25840
WEASEL2_half,ArrowHead,0.4151,0.2697,-0.1454,0.3597,0.2077,-0.152,2.0553,1.187,-0.8683,21.63,10.5,-11.13,0.857143,0.874286,0.017143,0.864643,0.882053,0.01741,-0.315629,-0.313307,0.002322,IMAGE,small (n<100),short (<200),mid (3-9),18970,9117
WEASEL2_half,BME,0.3269,0.2278,-0.0991,0.1844,0.0918,-0.0926,1.2292,0.6117,-0.6175,18.59,9.05,-9.54,0.98,0.973333,-0.006667,0.98,0.973333,-0.006667,-0.156256,-0.155915,0.000341,SIMULATED,small (n<100),short (<200),mid (3-9),19550,9411
WEASEL2_half,Beef,0.4599,0.3049,-0.155,0.1276,0.0638,-0.0638,4.2533,2.1257,-2.1276,19.03,9.19,-9.84,0.833333,0.833333,0.0,0.833333,0.833333,0.0,-0.405047,-0.396919,0.008128,SPECTRO,small (n<100),medium (200-800),mid (3-9),19741,9433
WEASEL2_half,BeetleFly,0.4213,0.2883,-0.133,0.1098,0.0648,-0.045,5.488,3.2401,-2.2479,12.82,6.28,-6.54,0.95,0.95,0.0,0.95,0.95,0.0,-0.294579,-0.299599,-0.00502,IMAGE,small (n<100),medium (200-800),binary (2),19390,9381
WEASEL2_half,BirdChicken,0.4065,0.2851,-0.1214,0.1066,0.0556,-0.051,5.3285,2.7801,-2.5484,12.63,6.16,-6.47,0.9,0.9,0.0,0.9,0.9,0.0,-0.271445,-0.283424,-0.011979,IMAGE,small (n<100),medium (200-800),binary (2),19080,9197
WEASEL2_half,CBF,0.3374,0.2196,-0.1178,0.9487,0.5224,-0.4263,1.0541,0.5804,-0.4737,20.06,9.86,-10.2,0.982222,0.978889,-0.003333,0.982237,0.978926,-0.003311,-0.197581,-0.196912,0.000669,SIMULATED,small (n<100),short (<200),mid (3-9),21141,10325
WEASEL2_half,Car,1.0025,0.465,-0.5375,0.3405,0.1641,-0.1764,5.6754,2.7346,-2.9408,47.1,16.13,-30.97,0.916667,0.883333,-0.033334,0.915992,0.883603,-0.032389,-0.191274,-0.216408,-0.025134,SENSOR,small (n<100),medium (200-800),mid (3-9),18038,8492
WEASEL2_half,Chinatown,0.2533,0.1751,-0.0782,0.0966,0.0578,-0.0388,0.2816,0.1686,-0.113,5.19,2.49,-2.7,0.976676,0.976676,0.0,0.983936,0.983936,0.0,-0.15314,-0.13833,0.01481,TRAFFIC,small (n<100),short (<200),binary (2),7364,3560
