classifier,dataset,fit_time_s_baseline,fit_time_s_new,fit_time_s_delta,predict_time_s_baseline,predict_time_s_new,predict_time_s_delta,predict_time_per_sample_ms_baseline,predict_time_per_sample_ms_new,predict_time_per_sample_ms_delta,peak_fit_mem_mb_baseline,peak_fit_mem_mb_new,peak_fit_mem_mb_delta,accuracy_baseline,accuracy_new,accuracy_delta,balanced_accuracy_baseline,balanced_accuracy_new,balanced_accuracy_delta,train_cv_accuracy_baseline,train_cv_accuracy_new,train_cv_accuracy_delta,dataset_type,train_size_bin,series_len_bin,n_classes_bin
WEASEL2_r100,ACSF1,2.1735,4.6254,2.4519,1.2225,2.5891,1.3666,12.2254,25.8907,13.6653,90.57,106.72,16.15,0.93,0.95,0.02,0.93,0.95,0.02,-0.185615,-0.18576,-0.000145,DEVICE,small (n<100),long (>800),many (10+)
WEASEL2_r100,Adiac,4.4664,3.8973,-0.5691,1.8395,1.2475,-0.592,4.7045,3.1906,-1.5139,558.83,415.69,-143.14,0.84399,0.841432,-0.002558,0.853155,0.851334,-0.001821,-0.045617,-0.046236,-0.000619,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r100,ArrowHead,0.4151,1.0613,0.6462,0.3597,0.7822,0.4225,2.0553,4.4695,2.4142,21.63,40.76,19.13,0.857143,0.868571,0.011428,0.864643,0.874305,0.009662,-0.315629,-0.3157,-7.1e-05,IMAGE,small (n<100),short (<200),mid (3-9)
WEASEL2_r100,Coffee,0.7606,0.9906,0.23,0.1059,0.1437,0.0378,3.7823,5.1334,1.3511,14.86,27.66,12.8,1.0,1.0,0.0,1.0,1.0,0.0,-0.114697,-0.113713,0.000984,SPECTRO,small (n<100),medium (200-800),binary (2)
WEASEL2_r100,Crop,76.6869,82.5746,5.8877,18.2702,21.4739,3.2037,1.0875,1.2782,0.1907,9836.25,9836.31,0.06,0.760655,0.760238,-0.000417,0.760655,0.760238,-0.000417,-0.067833,-0.06781,2.3e-05,IMAGE,large (n>500),short (<200),many (10+)
WEASEL2_r100,DistalPhalanxOutlineCorrect,3.8549,4.7411,0.8862,0.5825,0.4776,-0.1049,2.1103,1.7305,-0.3798,703.61,703.67,0.06,0.775362,0.771739,-0.003623,0.75528,0.752174,-0.003106,-0.403738,-0.401942,0.001796,IMAGE,large (n>500),short (<200),binary (2)
WEASEL2_r100,EOGHorizontalSignal,16.2202,14.1701,-2.0501,11.2615,9.4835,-1.778,31.109,26.1974,-4.9116,631.6,532.1,-99.5,0.61326,0.607735,-0.005525,0.613666,0.608565,-0.005101,-0.109162,-0.114491,-0.005329,EOG,medium (100-500),long (>800),many (10+)
WEASEL2_r100,ElectricDevices,127.9803,135.2273,7.247,14.0645,15.64,1.5755,1.824,2.0283,0.2043,11924.99,11911.98,-13.01,0.772014,0.770198,-0.001816,0.670491,0.667737,-0.002754,-0.113122,-0.113434,-0.000312,DEVICE,large (n>500),short (<200),mid (3-9)
WEASEL2_r100,FiftyWords,7.0616,5.249,-1.8126,2.9465,1.9536,-0.9929,6.4757,4.2937,-2.182,736.45,575.18,-161.27,0.832967,0.832967,0.0,0.729409,0.7349,0.005491,-0.036047,-0.03687,-0.000823,IMAGE,medium (100-500),medium (200-800),many (10+)
WEASEL2_r100,Fish,1.4339,3.3157,1.8818,0.8229,1.3257,0.5028,4.7023,7.5754,2.8731,99.75,187.26,87.51,0.988571,0.982857,-0.005714,0.988946,0.982993,-0.005953,-0.091011,-0.08461,0.006401,IMAGE,medium (100-500),medium (200-800),mid (3-9)
WEASEL2_r100,FordA,82.469,63.7141,-18.7549,14.6704,11.3213,-3.3491,11.114,8.5767,-2.5373,6327.14,5415.4,-911.74,0.960606,0.963636,0.00303,0.960711,0.963744,0.003033,-0.216579,-0.215251,0.001328,SENSOR,large (n>500),medium (200-800),binary (2)
WEASEL2_r100,GunPoint,0.4573,1.0445,0.5872,0.2334,0.4267,0.1933,1.5563,2.8443,1.288,27.89,52.3,24.41,1.0,1.0,0.0,1.0,1.0,0.0,-0.077205,-0.079725,-0.00252,MOTION,small (n<100),short (<200),binary (2)
WEASEL2_r100,Haptics,2.248,5.7015,3.4535,2.6205,5.845,3.2245,8.508,18.9773,10.4693,101.61,190.82,89.21,0.49026,0.5,0.00974,0.490125,0.499199,0.009074,-0.529634,-0.535056,-0.005422,MOTION,medium (100-500),long (>800),mid (3-9)
WEASEL2_r100,HouseTwenty,1.3029,3.0773,1.7744,1.8397,4.0586,2.2189,15.4599,34.1063,18.6464,34.83,52.17,17.34,0.966387,0.957983,-0.008404,0.96,0.95,-0.01,-0.147795,-0.159045,-0.01125,DEVICE,small (n<100),long (>800),binary (2)
WEASEL2_r100,InlineSkate,2.5138,5.7182,3.2044,8.0122,17.384,9.3718,14.5677,31.6072,17.0395,84.85,126.23,41.38,0.443636,0.449091,0.005455,0.449845,0.455801,0.005956,-0.444079,-0.440546,0.003533,MOTION,small (n<100),long (>800),mid (3-9)
WEASEL2_r100,ItalyPowerDemand,0.4147,0.9054,0.4907,0.472,0.604,0.132,0.4587,0.587,0.1283,30.35,56.78,26.43,0.959184,0.955296,-0.003888,0.959144,0.955251,-0.003893,-0.190887,-0.184026,0.006861,SENSOR,small (n<100),short (<200),binary (2)
WEASEL2_r100,MiddlePhalanxTW,2.5705,3.305,0.7345,0.4927,0.346,-0.1467,3.1995,2.247,-0.9525,355.5,355.67,0.17,0.551948,0.551948,0.0,0.38469,0.38469,0.0,-0.306022,-0.305743,0.000279,IMAGE,medium (100-500),short (<200),mid (3-9)
WEASEL2_r100,Phoneme,3.0284,6.5788,3.5504,16.1767,34.9114,18.7347,8.532,18.4132,9.8812,127.38,238.68,111.3,0.347574,0.355485,0.007911,0.18485,0.194372,0.009522,-0.095373,-0.097001,-0.001628,SOUND,medium (100-500),long (>800),many (10+)
WEASEL2_r100,Rock,1.0783,2.8495,1.7712,1.0809,2.36,1.2791,21.6183,47.2007,25.5824,25.12,29.56,4.44,0.9,0.86,-0.04,0.922619,0.886905,-0.035714,-0.363254,-0.3662,-0.002946,SPECTRO,small (n<100),long (>800),mid (3-9)
