classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_half,ACSF1,100,100,1460,10,8716,1.5823,0.6746,6.7465,91.96,0.95,0.95,-0.206031
WEASEL2_half,Adiac,390,391,176,37,25840,2.9096,0.9407,2.4058,308.95,0.841432,0.852275,-0.046973
WEASEL2_half,ArrowHead,36,175,251,3,9117,0.2697,0.2077,1.187,10.5,0.874286,0.882053,-0.313307
WEASEL2_half,BME,30,150,128,3,9411,0.2278,0.0918,0.6117,9.05,0.973333,0.973333,-0.155915
WEASEL2_half,Beef,30,30,470,5,9433,0.3049,0.0638,2.1257,9.19,0.833333,0.833333,-0.396919
WEASEL2_half,BeetleFly,20,20,512,2,9381,0.2883,0.0648,3.2401,6.28,0.95,0.95,-0.299599
WEASEL2_half,BirdChicken,20,20,512,2,9197,0.2851,0.0556,2.7801,6.16,0.9,0.9,-0.283424
WEASEL2_half,CBF,30,900,128,3,10325,0.2196,0.5224,0.5804,9.86,0.978889,0.978926,-0.196912
WEASEL2_half,Car,60,60,577,4,8492,0.465,0.1641,2.7346,16.13,0.883333,0.883603,-0.216408
WEASEL2_half,Chinatown,20,343,24,2,3560,0.1751,0.0578,0.1686,2.49,0.976676,0.983936,-0.13833
WEASEL2_half,ChlorineConcentration,467,3840,166,3,31002,3.3497,10.6461,2.7724,442.97,0.758594,0.706623,-0.459787
WEASEL2_half,CinCECGTorso,40,1380,1639,4,10294,0.7054,10.789,7.8181,28.43,0.958696,0.958519,-0.213314
WEASEL2_half,Coffee,28,28,286,2,7710,0.2929,0.0592,2.116,7.04,1.0,1.0,-0.111743
WEASEL2_half,Computers,250,250,720,2,34501,4.9787,3.0107,12.0427,265.0,0.696,0.696,-0.51781
WEASEL2_half,CricketX,390,390,300,12,36425,3.8863,1.6748,4.2944,434.92,0.802564,0.81014,-0.127105
WEASEL2_half,CricketY,390,390,300,12,36198,3.854,1.6331,4.1873,432.21,0.817949,0.819933,-0.130096
WEASEL2_half,CricketZ,390,390,300,12,36384,3.8829,1.661,4.2589,434.43,0.807692,0.80067,-0.131186
WEASEL2_half,Crop,7200,16800,46,24,22044,56.0121,10.0503,0.5982,4847.04,0.749583,0.749583,-0.070384
WEASEL2_half,DiatomSizeReduction,16,306,345,4,5518,0.283,0.4897,1.6002,3.16,0.96732,0.929159,-0.195636
WEASEL2_half,DistalPhalanxOutlineAgeGroup,400,139,80,3,16457,1.6828,0.1557,1.1202,201.59,0.776978,0.802666,-0.296811
WEASEL2_half,DistalPhalanxOutlineCorrect,600,276,80,2,19389,2.3273,0.2743,0.9939,355.73,0.768116,0.749068,-0.406532
WEASEL2_half,DistalPhalanxTW,400,139,80,6,16550,1.6618,0.1396,1.0044,202.74,0.705036,0.519456,-0.183993
WEASEL2_half,ECG200,100,100,96,2,9911,0.398,0.0759,0.7592,30.64,0.89,0.871528,-0.34776
WEASEL2_half,ECG5000,500,4500,140,5,33853,3.2856,7.3177,1.6262,517.7,0.947111,0.541008,-0.067575
WEASEL2_half,ECGFiveDays,23,861,136,2,8952,0.229,0.5509,0.6399,6.69,0.976771,0.976838,-0.293609
WEASEL2_half,EOGHorizontalSignal,362,362,1250,12,35473,9.9954,6.5826,18.184,394.35,0.604972,0.605877,-0.115999
WEASEL2_half,EOGVerticalSignal,362,362,1250,12,35838,10.1061,6.7389,18.6159,398.39,0.461326,0.463141,-0.134987
WEASEL2_half,Earthquakes,322,139,512,2,33493,4.68,1.1914,8.571,330.67,0.748201,0.5,-0.582689
WEASEL2_half,ElectricDevices,8926,7711,96,7,21332,100.3017,7.5017,0.9729,5812.58,0.765789,0.661396,-0.119584
WEASEL2_half,EthanolLevel,504,500,1751,4,31175,17.3583,12.8853,25.7705,695.96,0.574,0.574533,-0.446032
WEASEL2_half,FaceAll,560,1690,131,14,36330,3.5758,2.6084,1.5434,622.11,0.785207,0.893265,-0.037151
WEASEL2_half,FaceFour,24,88,350,4,10183,0.3246,0.1729,1.9643,7.96,0.954545,0.958042,-0.287646
WEASEL2_half,FacesUCR,200,2050,131,14,10406,0.6123,1.2311,0.6005,63.97,0.939024,0.896019,-0.077048
WEASEL2_half,FiftyWords,450,455,270,50,31408,3.894,1.519,3.3385,432.92,0.832967,0.7349,-0.036757
