classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_sublinear_tf,ACSF1,100,100,1460,10,50,24,17897,3.1935,0.9764,9.7639,87.43,0.97,0.97,-0.187007
WEASEL2_sublinear_tf,Adiac,390,391,176,37,150,84,46751,8.4682,1.542,3.9438,558.69,0.838875,0.845974,-0.045554
WEASEL2_sublinear_tf,ArrowHead,36,175,251,3,50,24,18966,0.6957,0.3361,1.9204,21.68,0.874286,0.883511,-0.316231
WEASEL2_sublinear_tf,Coffee,28,28,286,2,50,24,16470,0.6467,0.0788,2.8139,15.19,1.0,1.0,-0.11435
WEASEL2_sublinear_tf,Crop,7200,16800,46,24,100,44,44748,225.0688,21.6977,1.2915,9836.31,0.75619,0.75619,-0.06781
WEASEL2_sublinear_tf,DistalPhalanxOutlineCorrect,600,276,80,2,100,44,38358,7.1907,0.3965,1.4365,703.67,0.789855,0.770186,-0.401942
WEASEL2_sublinear_tf,EOGHorizontalSignal,362,362,1250,12,150,84,56744,30.225,10.266,28.3591,683.14,0.604972,0.60617,-0.109117
WEASEL2_sublinear_tf,ElectricDevices,8926,7711,96,7,100,44,43721,554.1868,15.7249,2.0393,11911.98,0.76112,0.659278,-0.113434
WEASEL2_sublinear_tf,FiftyWords,450,455,270,50,150,84,53439,12.0723,2.4766,5.443,736.54,0.826374,0.7171,-0.036049
WEASEL2_sublinear_tf,Fish,175,175,463,7,50,24,18496,2.2615,0.5371,3.069,99.78,0.982857,0.983231,-0.090762
WEASEL2_sublinear_tf,FordA,3601,1320,500,2,150,84,57549,393.5676,14.6629,11.1083,7173.8,0.961364,0.961445,-0.216575
WEASEL2_sublinear_tf,GunPoint,50,150,150,2,50,24,17829,0.663,0.1844,1.2292,27.93,1.0,1.0,-0.077238
WEASEL2_sublinear_tf,Haptics,155,308,1092,5,50,24,21174,3.7042,2.2158,7.1941,101.65,0.522727,0.520546,-0.529663
WEASEL2_sublinear_tf,HouseTwenty,40,119,2000,2,50,24,20845,2.1171,1.5713,13.2041,41.25,0.983193,0.98,-0.147869
WEASEL2_sublinear_tf,InlineSkate,100,550,1882,7,50,24,21267,3.9297,6.7376,12.2502,89.12,0.474545,0.485316,-0.444004
WEASEL2_sublinear_tf,ItalyPowerDemand,67,1029,24,2,50,24,14584,0.6582,0.3773,0.3666,30.46,0.959184,0.959149,-0.193601
WEASEL2_sublinear_tf,MiddlePhalanxTW,399,154,80,6,100,44,29106,4.5212,0.2321,1.507,355.67,0.571429,0.40585,-0.305743
WEASEL2_sublinear_tf,Phoneme,214,1896,1024,39,50,24,19274,4.9389,13.8786,7.3199,173.78,0.350738,0.167489,-0.095376
WEASEL2_sublinear_tf,Rock,20,50,2844,4,50,24,19712,1.916,0.9173,18.3452,24.8,0.86,0.880952,-0.363261
WEASEL2_sublinear_tf,SonyAIBORobotSurface1,20,601,70,2,50,24,17636,0.4786,0.3992,0.6643,11.44,0.896839,0.909621,-0.301423
WEASEL2_sublinear_tf,SwedishLeaf,500,625,128,15,150,84,57030,9.8176,1.7553,2.8084,872.33,0.9728,0.974109,-0.043886
WEASEL2_sublinear_tf,UWaveGestureLibraryX,896,3582,315,8,150,84,53636,28.3619,26.3921,7.368,1469.14,0.836963,0.835279,-0.156239
WEASEL2_tfidf,ACSF1,100,100,1460,10,50,24,17897,3.167,0.9648,9.6483,83.11,0.91,0.91,-0.187007
WEASEL2_tfidf,Adiac,390,391,176,37,150,84,46751,8.5451,1.5618,3.9944,558.69,0.836317,0.846367,-0.045554
WEASEL2_tfidf,ArrowHead,36,175,251,3,50,24,18966,0.6966,0.3299,1.885,21.69,0.857143,0.869018,-0.316231
WEASEL2_tfidf,Coffee,28,28,286,2,50,24,16470,0.6484,0.0791,2.8264,15.32,1.0,1.0,-0.11435
WEASEL2_tfidf,Crop,7200,16800,46,24,100,44,44748,219.2023,22.6226,1.3466,9836.31,0.759286,0.759286,-0.06781
