classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_w100,ACSF1,100,100,1460,10,50,100,20491,2.9219,1.9566,19.5656,190.13,0.92,0.92,-0.183522
WEASEL2_w100,Adiac,390,391,176,37,50,100,16396,1.9342,0.6123,1.566,196.12,0.813299,0.822357,-0.050337
WEASEL2_w100,ArrowHead,36,175,251,3,50,100,20051,0.4693,0.3851,2.2005,22.86,0.88,0.888342,-0.249652
WEASEL2_w100,Coffee,28,28,286,2,50,100,15045,0.4421,0.0766,2.737,13.67,1.0,1.0,-0.072223
WEASEL2_w100,Crop,7200,16800,46,24,50,46,22863,57.2203,9.3759,0.5581,5027.0,0.744048,0.744048,-0.070921
WEASEL2_w100,DistalPhalanxOutlineCorrect,600,276,80,2,50,80,17005,2.0594,0.1857,0.6728,312.06,0.782609,0.760248,-0.39038
WEASEL2_w100,EOGHorizontalSignal,362,362,1250,12,50,100,24276,6.4722,4.4249,12.2235,360.87,0.59116,0.591617,-0.115807
WEASEL2_w100,ElectricDevices,8926,7711,96,7,50,96,22996,97.6603,6.1123,0.7927,6265.86,0.732201,0.629207,-0.141743
WEASEL2_w100,FiftyWords,450,455,270,50,50,100,20421,2.557,0.9936,2.1838,281.65,0.824176,0.717187,-0.037834
WEASEL2_w100,Fish,175,175,463,7,50,100,18205,1.5399,0.6827,3.9009,98.22,0.982857,0.983844,-0.080787
WEASEL2_w100,FordA,3601,1320,500,2,50,100,24542,33.3402,5.5788,4.2264,2698.18,0.962121,0.962179,-0.212133
WEASEL2_w100,GunPoint,50,150,150,2,50,100,15951,0.4451,0.174,1.1601,25.05,0.993333,0.993421,-0.089769
WEASEL2_w100,Haptics,155,308,1092,5,50,100,23464,2.7303,3.2094,10.4202,153.56,0.548701,0.546751,-0.495295
WEASEL2_w100,HouseTwenty,40,119,2000,2,50,100,22660,1.7389,2.7718,23.2924,75.34,0.92437,0.91,-0.249007
WEASEL2_w100,InlineSkate,100,550,1882,7,50,100,23605,2.9026,10.595,19.2637,198.69,0.427273,0.435964,-0.434861
WEASEL2_w100,ItalyPowerDemand,67,1029,24,2,50,24,13788,0.4214,0.3188,0.3098,28.8,0.955296,0.955268,-0.174682
WEASEL2_w100,MiddlePhalanxTW,399,154,80,6,50,80,10284,1.4444,0.1059,0.6877,125.89,0.558442,0.399842,-0.305901
WEASEL2_w100,Phoneme,214,1896,1024,39,50,100,21794,3.3453,20.1569,10.6313,173.92,0.322785,0.173355,-0.098606
WEASEL2_w100,Rock,20,50,2844,4,50,100,20599,1.3675,1.2637,25.2745,29.16,0.88,0.904762,-0.36738
WEASEL2_w100,SonyAIBORobotSurface1,20,601,70,2,50,70,15012,0.325,0.3225,0.5366,9.81,0.935108,0.942668,-0.358267
WEASEL2_w100,SwedishLeaf,500,625,128,15,50,100,23971,2.0094,0.6531,1.0449,366.66,0.9696,0.970775,-0.046391
WEASEL2_w100,UWaveGestureLibraryX,896,3582,315,8,50,100,21473,5.2488,10.262,2.8649,588.17,0.839196,0.837468,-0.160066
WEASEL2_w12,ACSF1,100,100,1460,10,50,12,11018,2.1449,1.1313,11.3128,51.02,0.95,0.95,-0.200249
WEASEL2_w12,Adiac,390,391,176,37,50,12,10897,2.0727,0.563,1.4398,130.62,0.815857,0.827964,-0.054838
WEASEL2_w12,ArrowHead,36,175,251,3,50,12,13260,0.491,0.3417,1.9528,15.34,0.88,0.883967,-0.295188
WEASEL2_w12,Coffee,28,28,286,2,50,12,10492,0.449,0.0704,2.5142,9.74,1.0,1.0,-0.132459
WEASEL2_w12,Crop,7200,16800,46,24,50,12,13475,54.5029,9.2172,0.5486,2964.13,0.733274,0.733274,-0.077899
WEASEL2_w12,DistalPhalanxOutlineCorrect,600,276,80,2,50,12,11769,2.2062,0.2217,0.8033,216.14,0.768116,0.742857,-0.420908
WEASEL2_w12,EOGHorizontalSignal,362,362,1250,12,50,12,11887,5.7416,3.3244,9.1836,178.89,0.627072,0.628034,-0.125201
WEASEL2_w12,ElectricDevices,8926,7711,96,7,50,12,12343,96.7352,6.6409,0.8612,3509.29,0.766178,0.667803,-0.128825
WEASEL2_w12,FiftyWords,450,455,270,50,50,12,12309,2.7356,0.9532,2.095,170.18,0.806593,0.688636,-0.040695
WEASEL2_w12,Fish,175,175,463,7,50,12,9430,1.5546,0.5921,3.3832,51.29,0.971429,0.971939,-0.095419
WEASEL2_w12,FordA,3601,1320,500,2,50,12,13899,37.1221,5.4732,4.1464,1528.5,0.959848,0.959687,-0.216978
WEASEL2_w12,GunPoint,50,150,150,2,50,12,11975,0.4827,0.1865,1.2435,18.95,0.993333,0.993243,-0.073114
WEASEL2_w12,Haptics,155,308,1092,5,50,12,15896,2.5961,2.6506,8.606,76.64,0.50974,0.509855,-0.510104
WEASEL2_w12,HouseTwenty,40,119,2000,2,50,12,12774,1.3906,1.7562,14.7577,32.94,0.957983,0.95,-0.139098
WEASEL2_w12,InlineSkate,100,550,1882,7,50,12,12883,2.7003,7.9794,14.508,62.68,0.432727,0.436505,-0.427321
WEASEL2_w12,ItalyPowerDemand,67,1029,24,2,50,12,10080,0.8137,0.3776,0.367,35.61,0.960155,0.960124,-0.232589
WEASEL2_w12,MiddlePhalanxTW,399,154,80,6,50,12,12532,1.6104,0.1385,0.8995,153.28,0.584416,0.404941,-0.309935
WEASEL2_w12,Phoneme,214,1896,1024,39,50,12,10967,3.1913,15.2787,8.0584,85.9,0.322785,0.168267,-0.097873
WEASEL2_w12,Rock,20,50,2844,4,50,12,14606,1.3246,1.0525,21.0497,26.06,0.86,0.863095,-0.394036
WEASEL2_w12,SonyAIBORobotSurface1,20,601,70,2,50,12,15674,0.3232,0.425,0.7071,10.22,0.876872,0.891168,-0.311648
WEASEL2_w12,SwedishLeaf,500,625,128,15,50,12,13530,2.1696,0.6791,1.0866,207.25,0.9728,0.973888,-0.049365
WEASEL2_w12,UWaveGestureLibraryX,896,3582,315,8,50,12,9343,5.4123,9.6109,2.6831,256.39,0.840034,0.838443,-0.170929
WEASEL2_w124,ACSF1,100,100,1460,10,50,124,20419,2.9838,1.931,19.3095,155.82,0.9,0.9,-0.182018
WEASEL2_w124,Adiac,390,391,176,37,50,124,16419,1.9295,0.6106,1.5617,196.39,0.826087,0.834395,-0.049961
WEASEL2_w124,ArrowHead,36,175,251,3,50,124,19222,0.4669,0.3374,1.9278,21.94,0.851429,0.858354,-0.282822
WEASEL2_w124,Coffee,28,28,286,2,50,124,13527,0.4282,0.0839,2.995,12.37,1.0,1.0,-0.074531
WEASEL2_w124,Crop,7200,16800,46,24,50,46,24060,57.0056,10.1041,0.6014,5290.02,0.74994,0.74994,-0.070058
WEASEL2_w124,DistalPhalanxOutlineCorrect,600,276,80,2,50,80,18173,2.0601,0.204,0.739,333.46,0.778986,0.76087,-0.405118
WEASEL2_w124,EOGHorizontalSignal,362,362,1250,12,50,124,24718,6.707,4.7795,13.203,385.23,0.599448,0.600142,-0.119716
WEASEL2_w124,ElectricDevices,8926,7711,96,7,50,96,23359,96.1721,6.0148,0.78,6364.75,0.727791,0.619994,-0.13568
WEASEL2_w124,FiftyWords,450,455,270,50,50,124,23010,2.5794,0.9617,2.1136,317.22,0.826374,0.721543,-0.036286
WEASEL2_w124,Fish,175,175,463,7,50,124,18449,1.5608,0.6588,3.7645,99.53,0.988571,0.988946,-0.080604
WEASEL2_w124,FordA,3601,1320,500,2,50,124,24832,33.4177,5.4806,4.152,2730.05,0.964394,0.964479,-0.216338
WEASEL2_w124,GunPoint,50,150,150,2,50,124,14323,0.4358,0.1448,0.9655,22.56,0.993333,0.993421,-0.09269
WEASEL2_w124,Haptics,155,308,1092,5,50,124,22048,2.8683,3.1801,10.325,171.8,0.532468,0.53155,-0.500035
WEASEL2_w124,HouseTwenty,40,119,2000,2,50,124,23645,1.8115,3.1514,26.4821,95.47,0.932773,0.92,-0.252502
WEASEL2_w124,InlineSkate,100,550,1882,7,50,124,24299,3.0248,10.8997,19.8177,199.59,0.409091,0.4187,-0.442026
WEASEL2_w124,ItalyPowerDemand,67,1029,24,2,50,24,13021,0.4077,0.2976,0.2892,27.23,0.95724,0.957206,-0.18369
WEASEL2_w124,MiddlePhalanxTW,399,154,80,6,50,80,12533,1.497,0.1221,0.7927,153.29,0.564935,0.38724,-0.305697
WEASEL2_w124,Phoneme,214,1896,1024,39,50,124,22076,3.274,18.7583,9.8936,146.76,0.318565,0.17087,-0.098534
WEASEL2_w124,Rock,20,50,2844,4,50,124,22404,1.3886,1.3582,27.1635,46.17,0.94,0.946429,-0.482945
WEASEL2_w124,SonyAIBORobotSurface1,20,601,70,2,50,70,14602,0.3233,0.332,0.5525,9.55,0.926789,0.93538,-0.352891
WEASEL2_w124,SwedishLeaf,500,625,128,15,50,124,23828,2.1284,0.6523,1.0437,364.47,0.9712,0.972442,-0.04878
WEASEL2_w124,UWaveGestureLibraryX,896,3582,315,8,50,124,23655,5.2269,9.9545,2.779,647.85,0.831937,0.830232,-0.160615
WEASEL2_w200,ACSF1,100,100,1460,10,50,200,21308,3.6552,2.8184,28.1839,251.31,0.91,0.91,-0.197024
WEASEL2_w200,Adiac,390,391,176,37,50,176,15950,1.8217,0.5457,1.3957,190.81,0.815857,0.824554,-0.050188
WEASEL2_w200,ArrowHead,36,175,251,3,50,200,18784,0.4474,0.3474,1.985,21.46,0.891429,0.898004,-0.280404
WEASEL2_w200,Coffee,28,28,286,2,50,200,11351,0.4211,0.0674,2.4073,10.49,1.0,1.0,-0.072303
WEASEL2_w200,Crop,7200,16800,46,24,50,46,21833,55.5587,9.0702,0.5399,4800.67,0.740893,0.740893,-0.071521
WEASEL2_w200,DistalPhalanxOutlineCorrect,600,276,80,2,50,80,17552,2.01,0.1899,0.688,322.08,0.775362,0.754037,-0.397514
