classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r25,ACSF1,100,100,1460,10,8716,1.4857,0.6712,6.7116,94.53,0.95,0.95,-0.206031
WEASEL2_r25,Adiac,390,391,176,37,8863,0.9785,0.3304,0.8449,106.17,0.84399,0.847731,-0.051477
WEASEL2_r25,ArrowHead,36,175,251,3,9117,0.2568,0.2232,1.2756,10.5,0.874286,0.882053,-0.313307
WEASEL2_r25,BME,30,150,128,3,9411,0.2264,0.0859,0.5727,9.05,0.973333,0.973333,-0.155915
WEASEL2_r25,Beef,30,30,470,5,9433,0.3233,0.067,2.2319,9.2,0.833333,0.833333,-0.396919
WEASEL2_r25,BeetleFly,20,20,512,2,9381,0.2746,0.0534,2.6686,6.29,0.95,0.95,-0.299599
WEASEL2_r25,BirdChicken,20,20,512,2,9197,0.2651,0.0561,2.8047,6.17,0.9,0.9,-0.283424
WEASEL2_r25,CBF,30,900,128,3,10325,0.216,0.5016,0.5574,9.88,0.978889,0.978926,-0.196912
WEASEL2_r25,Car,60,60,577,4,8492,0.4639,0.1646,2.744,16.13,0.883333,0.883603,-0.216408
WEASEL2_r25,Chinatown,20,343,24,2,3560,0.1836,0.0553,0.1613,2.49,0.976676,0.983936,-0.13833
WEASEL2_r25,ChlorineConcentration,467,3840,166,3,10716,1.0747,3.5351,0.9206,153.18,0.743229,0.695437,-0.505082
WEASEL2_r25,CinCECGTorso,40,1380,1639,4,10294,0.6922,10.4913,7.6024,29.67,0.958696,0.958519,-0.213314
WEASEL2_r25,Coffee,28,28,286,2,7710,0.2612,0.0463,1.6535,7.04,1.0,1.0,-0.111743
WEASEL2_r25,Computers,250,250,720,2,12171,1.6188,0.9655,3.8619,142.36,0.704,0.704,-0.572956
WEASEL2_r25,CricketX,390,390,300,12,12725,1.3191,0.5764,1.478,152.03,0.797436,0.805709,-0.131671
WEASEL2_r25,CricketY,390,390,300,12,12664,1.3082,0.5678,1.4559,151.3,0.820513,0.822378,-0.13589
WEASEL2_r25,CricketZ,390,390,300,12,12733,1.3393,0.5729,1.469,152.12,0.8,0.792741,-0.134087
WEASEL2_r25,Crop,7200,16800,46,24,11794,45.6007,5.1318,0.3055,2594.54,0.730298,0.730298,-0.074169
WEASEL2_r25,DiatomSizeReduction,16,306,345,4,5518,0.2543,0.4645,1.518,3.16,0.96732,0.929159,-0.195636
WEASEL2_r25,DistalPhalanxOutlineAgeGroup,400,139,80,3,8619,0.8098,0.0653,0.4694,105.62,0.755396,0.787802,-0.300364
WEASEL2_r25,DistalPhalanxOutlineCorrect,600,276,80,2,10349,1.1111,0.1159,0.4198,189.91,0.793478,0.777019,-0.412742
WEASEL2_r25,DistalPhalanxTW,400,139,80,6,8662,0.7798,0.0561,0.4034,106.16,0.71223,0.519231,-0.185826
WEASEL2_r25,ECG200,100,100,96,2,9911,0.3309,0.0523,0.5234,30.64,0.89,0.871528,-0.34776
WEASEL2_r25,ECG5000,500,4500,140,5,11882,1.048,2.4557,0.5457,181.78,0.947556,0.524512,-0.069562
WEASEL2_r25,ECGFiveDays,23,861,136,2,8952,0.2178,0.5369,0.6236,6.69,0.976771,0.976838,-0.293609
WEASEL2_r25,EOGHorizontalSignal,362,362,1250,12,12235,3.1395,2.062,5.696,284.53,0.588398,0.589294,-0.123786
WEASEL2_r25,EOGVerticalSignal,362,362,1250,12,12416,3.1661,2.1178,5.8502,343.53,0.466851,0.469253,-0.141105
WEASEL2_r25,Earthquakes,322,139,512,2,11638,1.5669,0.3997,2.8759,130.14,0.748201,0.5,-0.569412
WEASEL2_r25,ElectricDevices,8926,7711,96,7,11423,81.3024,3.9161,0.5079,3383.73,0.759694,0.652781,-0.126608
WEASEL2_r25,EthanolLevel,504,500,1751,4,10838,5.8255,4.3,8.6001,653.87,0.576,0.576325,-0.456019
WEASEL2_r25,FaceAll,560,1690,131,14,12662,1.1867,0.8559,0.5065,216.95,0.787574,0.89306,-0.038571
WEASEL2_r25,FaceFour,24,88,350,4,10183,0.2826,0.166,1.8863,7.96,0.954545,0.958042,-0.287646
WEASEL2_r25,FacesUCR,200,2050,131,14,10406,0.5757,1.203,0.5868,63.97,0.939024,0.896019,-0.077048
WEASEL2_r25,FiftyWords,450,455,270,50,10834,1.3125,0.5018,1.1028,149.61,0.837363,0.7351,-0.037757
WEASEL2_r25,Fish,175,175,463,7,8751,0.872,0.3648,2.0846,47.29,0.977143,0.977279,-0.099054
WEASEL2_r25,FordA,3601,1320,500,2,12754,18.7179,2.7925,2.1155,1402.27,0.959091,0.959242,-0.222213
WEASEL2_r25,FordB,3636,810,500,2,12791,18.8999,1.6864,2.082,1420.0,0.838272,0.838122,-0.203707
WEASEL2_r25,FreezerRegularTrain,150,2850,301,2,9935,0.6551,3.9486,1.3855,45.96,0.992281,0.992281,-0.061813
WEASEL2_r25,FreezerSmallTrain,28,2850,301,2,9493,0.2628,3.9021,1.3691,8.58,0.950526,0.950526,-0.142631
WEASEL2_r25,GunPoint,50,150,150,2,8479,0.2871,0.1245,0.8303,13.34,1.0,1.0,-0.074953
WEASEL2_r25,GunPointAgeSpan,135,316,150,2,8166,0.4694,0.2489,0.7876,34.05,1.0,1.0,-0.07109
WEASEL2_r25,GunPointMaleVersusFemale,135,316,150,2,8116,0.5029,0.2536,0.8025,33.84,0.996835,0.996988,-0.034344
WEASEL2_r25,GunPointOldVersusYoung,136,315,150,2,8220,0.4976,0.2429,0.7711,34.52,0.990476,0.99,-0.056781
WEASEL2_r25,Ham,109,105,431,2,9544,0.6121,0.2267,2.159,32.27,0.761905,0.761438,-0.334223
WEASEL2_r25,HandOutlines,1000,370,2709,2,11629,20.4746,4.5886,12.4017,888.16,0.945946,0.93471,-0.24029
WEASEL2_r25,Haptics,155,308,1092,5,10352,1.3241,1.4125,4.5859,80.53,0.480519,0.47973,-0.508737
