classifier,dataset,n_train,n_test,ts_length,n_classes,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_r100,ACSF1,100,100,1460,10,33861,4.6254,2.5891,25.8907,106.72,0.95,0.95,-0.18576
WEASEL2_r100,Adiac,390,391,176,37,34788,3.8973,1.2475,3.1906,415.69,0.841432,0.851334,-0.046236
WEASEL2_r100,ArrowHead,36,175,251,3,35707,1.0613,0.7822,4.4695,40.76,0.868571,0.874305,-0.3157
WEASEL2_r100,Coffee,28,28,286,2,30560,0.9906,0.1437,5.1334,27.66,1.0,1.0,-0.113713
WEASEL2_r100,Crop,7200,16800,46,24,44748,82.5746,21.4739,1.2782,9836.31,0.760238,0.760238,-0.06781
WEASEL2_r100,DistalPhalanxOutlineCorrect,600,276,80,2,38358,4.7411,0.4776,1.7305,703.67,0.771739,0.752174,-0.401942
WEASEL2_r100,EOGHorizontalSignal,362,362,1250,12,47872,14.1701,9.4835,26.1974,532.1,0.607735,0.608565,-0.114491
WEASEL2_r100,ElectricDevices,8926,7711,96,7,43721,135.2273,15.64,2.0283,11911.98,0.770198,0.667737,-0.113434
WEASEL2_r100,FiftyWords,450,455,270,50,41739,5.249,1.9536,4.2937,575.18,0.832967,0.7349,-0.03687
WEASEL2_r100,Fish,175,175,463,7,34713,3.3157,1.3257,7.5754,187.26,0.982857,0.982993,-0.08461
WEASEL2_r100,FordA,3601,1320,500,2,49259,63.7141,11.3213,8.5767,5415.4,0.963636,0.963744,-0.215251
WEASEL2_r100,GunPoint,50,150,150,2,33388,1.0445,0.4267,2.8443,52.3,1.0,1.0,-0.079725
WEASEL2_r100,Haptics,155,308,1092,5,39736,5.7015,5.845,18.9773,190.82,0.5,0.499199,-0.535056
WEASEL2_r100,HouseTwenty,40,119,2000,2,39271,3.0773,4.0586,34.1063,52.17,0.957983,0.95,-0.159045
WEASEL2_r100,InlineSkate,100,550,1882,7,40029,5.7182,17.384,31.6072,126.23,0.449091,0.455801,-0.440546
WEASEL2_r100,ItalyPowerDemand,67,1029,24,2,27218,0.9054,0.604,0.587,56.78,0.955296,0.955251,-0.184026
WEASEL2_r100,MiddlePhalanxTW,399,154,80,6,29106,3.305,0.346,2.247,355.67,0.551948,0.38469,-0.305743
WEASEL2_r100,Phoneme,214,1896,1024,39,36110,6.5788,34.9114,18.4132,238.68,0.355485,0.194372,-0.097001
WEASEL2_r100,Rock,20,50,2844,4,36777,2.8495,2.36,47.2007,29.56,0.86,0.886905,-0.3662
WEASEL2_r100,SonyAIBORobotSurface1,20,601,70,2,33429,0.719,0.7889,1.3126,21.63,0.9401,0.947042,-0.308061
WEASEL2_r100,SwedishLeaf,500,625,128,15,47316,4.216,1.3064,2.0903,723.55,0.976,0.976701,-0.044346
WEASEL2_r100,UWaveGestureLibraryX,896,3582,315,8,43856,10.4065,20.8056,5.8084,1201.01,0.843384,0.841717,-0.161483
WEASEL2_r125,ACSF1,100,100,1460,10,41436,5.9209,3.0937,30.9373,130.64,0.96,0.96,-0.183799
WEASEL2_r125,Adiac,390,391,176,37,41347,4.8197,1.5721,4.0206,494.06,0.836317,0.846347,-0.045962
WEASEL2_r125,ArrowHead,36,175,251,3,43144,1.3298,0.9781,5.5892,49.27,0.857143,0.864643,-0.307672
WEASEL2_r125,Coffee,28,28,286,2,36950,1.2189,0.1965,7.0172,33.47,1.0,1.0,-0.113933
WEASEL2_r125,Crop,7200,16800,46,24,53050,91.2541,26.3903,1.5708,11660.75,0.761786,0.761786,-0.067462
WEASEL2_r125,DistalPhalanxOutlineCorrect,600,276,80,2,47356,5.6794,0.6446,2.3354,868.71,0.768116,0.747826,-0.400258
WEASEL2_r125,EOGHorizontalSignal,362,362,1250,12,55584,17.7245,11.042,30.5027,618.02,0.629834,0.630429,-0.112265
WEASEL2_r125,ElectricDevices,8926,7711,96,7,51697,155.962,20.3492,2.639,14084.93,0.767086,0.664765,-0.112253
WEASEL2_r125,FiftyWords,450,455,270,50,49907,6.4452,2.4288,5.3381,687.71,0.828571,0.728233,-0.036418
WEASEL2_r125,Fish,175,175,463,7,41818,4.1897,1.6657,9.5183,225.62,0.977143,0.977279,-0.082718
WEASEL2_r125,FordA,3601,1320,500,2,56926,78.5889,13.3874,10.1419,6258.4,0.963636,0.963744,-0.215931
WEASEL2_r125,GunPoint,50,150,150,2,41091,1.3059,0.5101,3.4004,64.35,1.0,1.0,-0.078447
WEASEL2_r125,Haptics,155,308,1092,5,47113,6.8472,7.3143,23.7477,226.38,0.503247,0.502787,-0.536644
WEASEL2_r125,HouseTwenty,40,119,2000,2,46304,4.0018,5.2184,43.8519,61.76,0.966387,0.96,-0.155754
WEASEL2_r125,InlineSkate,100,550,1882,7,47169,7.3493,21.5067,39.1032,148.98,0.445455,0.455459,-0.436032
WEASEL2_r125,ItalyPowerDemand,67,1029,24,2,33329,1.1266,0.7736,0.7518,69.52,0.954325,0.954282,-0.184688
WEASEL2_r125,MiddlePhalanxTW,399,154,80,6,36269,4.1392,0.4345,2.8217,443.17,0.538961,0.365751,-0.306484
WEASEL2_r125,Phoneme,214,1896,1024,39,43004,8.3011,44.3301,23.3808,284.33,0.352848,0.191452,-0.096808
WEASEL2_r125,Rock,20,50,2844,4,43966,3.4547,2.9248,58.4959,33.67,0.88,0.904762,-0.334241
WEASEL2_r125,SonyAIBORobotSurface1,20,601,70,2,41486,0.8978,0.9888,1.6452,26.82,0.936772,0.944126,-0.312126
