classifier,dataset,n_train,n_test,ts_length,n_classes,ensemble_size,max_window,n_features,fit_time_s,predict_time_s,predict_time_per_sample_ms,peak_fit_mem_mb,accuracy,balanced_accuracy,train_cv_accuracy
WEASEL2_sgd,ACSF1,100,100,1460,10,50,24,17897,3.1776,0.9481,9.4812,89.58,0.84,0.84,-0.187007
WEASEL2_sgd,Adiac,390,391,176,37,150,84,46751,8.6561,1.376,3.5193,558.69,0.716113,0.718362,-0.045554
WEASEL2_sgd,ArrowHead,36,175,251,3,50,24,18966,0.6868,0.2988,1.7076,21.72,0.771429,0.786346,-0.316231
WEASEL2_sgd,Coffee,28,28,286,2,50,24,16470,0.6411,0.07,2.5007,14.91,0.857143,0.866667,-0.11435
WEASEL2_sgd,Crop,7200,16800,46,24,100,44,44748,113.1038,17.0145,1.0128,9836.32,0.753274,0.753274,-0.06781
WEASEL2_sgd,DistalPhalanxOutlineCorrect,600,276,80,2,100,44,38358,5.3224,0.3086,1.118,703.67,0.778986,0.780745,-0.401942
WEASEL2_sgd,EOGHorizontalSignal,362,362,1250,12,150,84,56744,26.605,9.706,26.8122,631.53,0.582873,0.585088,-0.109117
WEASEL2_sgd,ElectricDevices,8926,7711,96,7,100,44,43721,189.4329,12.3534,1.6021,11911.98,0.752302,0.663724,-0.113434
WEASEL2_sgd,FiftyWords,450,455,270,50,150,84,53439,11.8084,2.2566,4.9596,736.54,0.676923,0.516723,-0.036049
WEASEL2_sgd,Fish,175,175,463,7,50,24,18496,2.1275,0.5005,2.8599,99.78,0.931429,0.93093,-0.090762
WEASEL2_sgd,FordA,3601,1320,500,2,150,84,57549,122.7991,12.3926,9.3883,6327.26,0.958333,0.958219,-0.216575
WEASEL2_sgd,GunPoint,50,150,150,2,50,24,17829,0.6582,0.1651,1.1007,27.94,0.993333,0.993243,-0.077238
WEASEL2_sgd,Haptics,155,308,1092,5,50,24,21174,3.5654,2.1385,6.9433,101.65,0.474026,0.468135,-0.529663
WEASEL2_sgd,HouseTwenty,40,119,2000,2,50,24,20845,2.063,1.5545,13.0632,36.19,0.932773,0.931014,-0.147869
WEASEL2_sgd,InlineSkate,100,550,1882,7,50,24,21267,3.8495,6.6511,12.0928,94.06,0.409091,0.404969,-0.444004
WEASEL2_sgd,ItalyPowerDemand,67,1029,24,2,50,24,14584,1.068,0.2708,0.2632,44.86,0.931001,0.931054,-0.193601
WEASEL2_sgd,MiddlePhalanxTW,399,154,80,6,100,44,29106,3.9013,0.2002,1.3003,355.68,0.519481,0.389552,-0.305743
WEASEL2_sgd,Phoneme,214,1896,1024,39,50,24,19274,4.9858,13.8667,7.3136,127.42,0.209388,0.13132,-0.095376
WEASEL2_sgd,Rock,20,50,2844,4,50,24,19712,1.9378,0.9024,18.0486,25.43,0.74,0.664683,-0.363261
WEASEL2_sgd,SonyAIBORobotSurface1,20,601,70,2,50,24,17636,0.4522,0.3187,0.5302,11.47,0.660566,0.702624,-0.301423
WEASEL2_sgd,SwedishLeaf,500,625,128,15,150,84,57030,8.0785,1.5,2.4001,872.33,0.9344,0.937632,-0.043886
WEASEL2_sgd,UWaveGestureLibraryX,896,3582,315,8,150,84,53636,20.0909,24.5916,6.8653,1469.15,0.823283,0.820964,-0.156239
